brand,url,segment,parts_site,parts_url
Whirlpool,https://www.whirlpool.com/kitchen/refrigeration.html,residential,Whirlpool Parts,https://www.whirlpoolparts.com/
GE Appliances,https://www.geappliances.com/ge-appliances/kitchen/refrigerators/,residential,GE Appliances Parts,https://www.geapplianceparts.com/store/
LG,https://www.lg.com/us/refrigerators,residential,LG Parts,https://lgparts.com/
Samsung,https://www.samsung.com/us/refrigerators/,residential,Samsung Parts,https://www.samsungparts.com/
Frigidaire,https://www.frigidaire.com/en/kitchen-appliances/refrigerators,residential,Frigidaire Parts,https://www.frigidaireapplianceparts.com/
KitchenAid,https://www.kitchenaid.com/major-appliances/refrigeration.html,residential,KitchenAid Parts,https://www.kitchenaidparts.com/
Maytag,https://www.maytag.com/kitchen/refrigerators.html,residential,Maytag Replacement Parts,https://www.maytagreplacementparts.com/
Amana,https://www.amana.com/kitchen/refrigerators.html,residential,Amana Replacement Parts,https://www.amanaparts.com/
Hotpoint,https://www.hotpoint.com/refrigeration/,residential,GE Appliances Parts,https://www.geapplianceparts.com/store/
Bosch,https://www.bosch-home.com/us/productslist/refrigerators,residential,Bosch Parts,https://www.bosch-home.com/us/owner-support/cleaners-accessories/spare-parts
Cafe,https://www.cafeappliances.com/appliances/refrigerators/,residential,GE Appliances Parts,https://www.geapplianceparts.com/store/
GE Profile,https://www.geappliances.com/ge-appliances/kitchen/refrigerators/,residential,GE Appliances Parts,https://www.geapplianceparts.com/store/
Haier,https://www.haierappliances.com/appliances/refrigerators/,residential,GE Appliances Parts,https://www.geapplianceparts.com/store/
Hisense,https://www.hisense-usa.com/home-appliance/refrigerators,residential,Hisense Parts,https://encompass.com/brand/HIS/Hisense
Midea,https://www.midea.com/us/refrigerators,residential,Midea Parts,https://encompass.com/brand/MID/Midea
Kenmore,https://www.kenmore.com/products/refrigerators/,residential,Sears PartsDirect,https://www.searspartsdirect.com/combo/0582-1234595/kenmore-refrigerator-parts
Sub-Zero,https://www.subzero-wolf.com/sub-zero/full-size-refrigeration,residential_luxury,Sub-Zero Parts,https://www.subzero-wolf.com/assistance/parts
Thermador,https://www.thermador.com/us/products/refrigeration,residential_luxury,Thermador Parts,https://www.thermador.com/us/support/parts-cleaners-accessories
Fisher & Paykel,https://www.fisherpaykel.com/us/cooling/,residential_luxury,Fisher & Paykel Parts,https://www.fisherpaykel.com/us/support/spare-parts/
Liebherr,https://home.liebherr.com/en/usa/ncsa/residential-appliances/household-appliances.html,residential_luxury,Liebherr Spare Parts,https://home.liebherr.com/en/usa/ncsa/service/spare-parts/spare-parts.html
Miele,https://www.mieleusa.com/e/refrigeration-and-wine-units-1014427-c,residential_luxury,Miele Parts and Accessories,https://www.mieleusa.com/c/parts-and-accessories-29.htm
JennAir,https://www.jennair.com/refrigeration.html,residential_luxury,JennAir Parts,https://www.jennair.com/parts.html
Monogram,https://www.monogram.com/refrigeration/,residential_luxury,GE Appliances Parts,https://www.geapplianceparts.com/store/
Smeg,https://www.smegusa.com/refrigerators,residential_luxury,Encompass,https://encompass.com/brand/SMG/Smeg
Summit,https://www.summitappliance.com/catalog/refrigeration,residential, Summit Replacement Parts,https://www.summitappliance.com/support/replacement-parts
Avanti,https://www.avantiproducts.com/refrigeration/,residential,Avanti Parts,https://www.avantiproducts.com/parts-accessories/
U-Line,https://www.u-line.com/refrigeration,residential_luxury,U-Line Parts,https://www.u-line.com/parts
Marvel,https://marvelrefrigeration.com/collections/refrigeration,residential_luxury,Marvel Parts and Service,https://marvelrefrigeration.com/pages/parts-and-service
Electrolux,https://www.electrolux.com/en/kitchen-appliances/refrigerators,residential,Electrolux Parts,https://www.electroluxappliances.com/Owner-Support/Parts/
Blomberg,https://www.blombergappliances.com/products/refrigerators/,residential,Blomberg Support,https://www.blombergappliances.com/support/
XO,https://xoappliance.com/refrigeration/,residential_luxury,XO Service and Support,https://xoappliance.com/service-and-support/
Zephyr,https://zephyronline.com/product-category/refrigeration/,residential_luxury,Zephyr Support,https://zephyronline.com/support/
Viking,https://www.vikingrange.com/consumer/category/products/refrigeration,residential_luxury,All Viking Parts,https://www.allvikingparts.com/
Dacor,https://www.dacor.com/us/products/refrigerators,residential_luxury,Samsung Parts,https://www.samsungparts.com/
Beko,https://www.beko.com/us-en/products/refrigerators,residential,Beko Support,https://www.beko.com/us-en/support
Forno,https://forno.ca/refrigerators/,residential,Forno Parts,https://forno.ca/pages/parts
THOR Kitchen,https://thorkitchen.com/refrigeration/,residential,THOR Kitchen Parts,https://thorkitchen.com/parts/
Insignia,https://www.bestbuy.com/site/insignia/refrigerators/pcmcat1603316133856.c?id=pcmcat1603316133856,residential,Encompass Best Buy Parts,https://partstore.encompass.com/
Magic Chef,https://mcappliance.com/refrigeration/,residential,Magic Chef Parts,https://mcappliance.com/parts-accessories/
