brand_name,model_number,model_number_normalized,source_note
True,T-23-HC,T-23-HC,us_commercial_refrigerator_brands_models.xlsx
True,T-49-HC,T-49-HC,us_commercial_refrigerator_brands_models.xlsx
True,T-72-HC,T-72-HC,us_commercial_refrigerator_brands_models.xlsx
True,T-23F-HC,T-23F-HC,us_commercial_refrigerator_brands_models.xlsx
True,T-49F-HC,T-49F-HC,us_commercial_refrigerator_brands_models.xlsx
True,GDM-23-HC,GDM-23-HC,us_commercial_refrigerator_brands_models.xlsx
True,GDM-49-HC,GDM-49-HC,us_commercial_refrigerator_brands_models.xlsx
True,GDM-72-HC,GDM-72-HC,us_commercial_refrigerator_brands_models.xlsx
True,TSSU-27-08,TSSU-27-08,us_commercial_refrigerator_brands_models.xlsx
True,TSSU-48-12,TSSU-48-12,us_commercial_refrigerator_brands_models.xlsx
True,TUC-27-HC,TUC-27-HC,us_commercial_refrigerator_brands_models.xlsx
True,TWT-72-HC,TWT-72-HC,us_commercial_refrigerator_brands_models.xlsx
Turbo Air,M3R24-1,M3R24-1,us_commercial_refrigerator_brands_models.xlsx
Turbo Air,M3R47-2,M3R47-2,us_commercial_refrigerator_brands_models.xlsx
Turbo Air,M3R72-3,M3R72-3,us_commercial_refrigerator_brands_models.xlsx
Turbo Air,M3F24-1,M3F24-1,us_commercial_refrigerator_brands_models.xlsx
Turbo Air,M3F47-2,M3F47-2,us_commercial_refrigerator_brands_models.xlsx
Turbo Air,TSR-23SD,TSR-23SD,us_commercial_refrigerator_brands_models.xlsx
Turbo Air,TSR-49SD,TSR-49SD,us_commercial_refrigerator_brands_models.xlsx
Turbo Air,MST-28,MST-28,us_commercial_refrigerator_brands_models.xlsx
Turbo Air,MST-48,MST-48,us_commercial_refrigerator_brands_models.xlsx
Turbo Air,MST-72,MST-72,us_commercial_refrigerator_brands_models.xlsx
Turbo Air,TUF-28SD,TUF-28SD,us_commercial_refrigerator_brands_models.xlsx
Beverage-Air,HR1HC-1S,HR1HC-1S,us_commercial_refrigerator_brands_models.xlsx
Beverage-Air,HR2HC-1S,HR2HC-1S,us_commercial_refrigerator_brands_models.xlsx
Beverage-Air,HR3HC-1S,HR3HC-1S,us_commercial_refrigerator_brands_models.xlsx
Beverage-Air,HF1HC-1S,HF1HC-1S,us_commercial_refrigerator_brands_models.xlsx
Beverage-Air,HF2HC-1S,HF2HC-1S,us_commercial_refrigerator_brands_models.xlsx
